                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                  1.182,                  1.303,                 1.4735,                      0,                      0,                      0,                      0,                      0,                 197.55,                      0,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.2575,                 1.2798,                 1.4329,                      0,                      0,                      0,                      0,                      0,                 222.55,                      0,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.1285,                 1.1653,                 1.3811,                      0,                      0,                      0,                      0,                      0,                 361.93,                      0,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.0553,                 1.0884,                 1.3172,                      0,                      0,                      0,                      0,                      0,                 537.21,                      0,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.224,                 1.0742,                  1.403,                      0,                      0,                      0,                      0,                      0,                 683.68,                      0,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1678,                 1.0628,                 1.3349,                      0,                      0,                      0,                      0,                      0,                 619.76,                      0,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.188,                 1.1605,                 1.4313,                      0,                      0,                      0,                      0,                      0,                 378.96,                      0,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0905,                 1.0076,                 1.3442,                      0,                      0,                      0,                      0,                      0,                  340.3,                      0,               0.001604,               0.001604,               0.001604
                     22,                 1.0544,                0.95517,                 1.2846,                      0,                      0,                      0,                      0,                      0,                 410.95,                      0,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0051,                0.95101,                 1.3037,                      0,                      0,                      0,                      0,                      0,                 519.68,                      0,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0986,                0.95217,                 1.3238,                      0,                      0,                      0,                      0,                      0,                 481.14,                      0,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.0528,                0.96443,                 1.3141,                      0,                      0,                      0,                      0,                      0,                 464.57,                      0,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0747,                0.91264,                 1.2999,                      0,                      0,                      0,                      0,                      0,                 355.81,                      0,               0.001505,               0.001505,               0.001505
                     27,                 1.0394,                0.87692,                 1.2626,                      0,                      0,                      0,                      0,                      0,                 284.77,                      0,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0777,                0.87702,                 1.2789,                      0,                      0,                      0,                      0,                      0,                 265.79,                      0,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0832,                 0.9173,                 1.3455,                      0,                      0,                      0,                      0,                      0,                 200.26,                      0,              0.0014456,              0.0014456,              0.0014456
                     30,                0.97338,                0.81407,                 1.2077,                      0,                      0,                      0,                      0,                      0,                 127.04,                      0,              0.0014258,              0.0014258,              0.0014258
                     31,                0.96932,                0.87414,                 1.2583,                      0,                      0,                      0,                      0,                      0,                 90.343,                      0,               0.001406,               0.001406,               0.001406
                     32,                 1.0057,                0.84449,                 1.2441,                      0,                      0,                      0,                      0,                      0,                 122.48,                      0,              0.0013862,              0.0013862,              0.0013862
                     33,                0.89204,                0.76345,                 1.1735,                      0,                      0,                      0,                      0,                      0,                 151.94,                      0,              0.0013664,              0.0013664,              0.0013664
                     34,                0.94341,                0.84508,                 1.2152,                      0,                      0,                      0,                      0,                      0,                 165.73,                      0,              0.0013466,              0.0013466,              0.0013466
                     35,                0.91171,                0.78908,                 1.1838,                      0,                      0,                      0,                      0,                      0,                  172.1,                      0,              0.0013268,              0.0013268,              0.0013268
                     36,                0.98953,                0.80008,                 1.2677,                      0,                      0,                      0,                      0,                      0,                 199.05,                      0,               0.001307,               0.001307,               0.001307
                     37,                0.94525,                0.77956,                  1.272,                      0,                      0,                      0,                      0,                      0,                 206.92,                      0,              0.0012872,              0.0012872,              0.0012872
                     38,                0.89257,                0.72582,                 1.1487,                      0,                      0,                      0,                      0,                      0,                 202.05,                      0,              0.0012674,              0.0012674,              0.0012674
                     39,                0.94488,                0.73056,                 1.2012,                      0,                      0,                      0,                      0,                      0,                 193.33,                      0,              0.0012476,              0.0012476,              0.0012476
                     40,                0.88133,                0.68193,                 1.1584,                      0,                      0,                      0,                      0,                      0,                  180.4,                      0,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88967,                  0.706,                 1.1932,                      0,                      0,                      0,                      0,                      0,                 185.01,                      0,               0.001208,               0.001208,               0.001208
                     42,                0.90181,                0.69372,                 1.1663,                      0,                      0,                      0,                      0,                      0,                 226.41,                      0,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89424,                0.69052,                 1.2119,                      0,                      0,                      0,                      0,                      0,                 238.54,                      0,              0.0011684,              0.0011684,              0.0011684
                     44,                0.93123,                0.74473,                 1.2275,                      0,                      0,                      0,                      0,                      0,                 206.79,                      0,              0.0011486,              0.0011486,              0.0011486
                     45,                0.85342,                0.69207,                 1.1702,                      0,                      0,                      0,                      0,                      0,                 184.38,                      0,              0.0011288,              0.0011288,              0.0011288
                     46,                0.86736,                0.65357,                 1.1351,                      0,                      0,                      0,                      0,                      0,                 176.46,                      0,               0.001109,               0.001109,               0.001109
                     47,                0.89445,                0.67955,                 1.2145,                      0,                      0,                      0,                      0,                      0,                 187.01,                      0,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88102,                0.69159,                 1.1825,                      0,                      0,                      0,                      0,                      0,                 190.32,                      0,              0.0010694,              0.0010694,              0.0010694
                     49,                0.84178,                0.63073,                  1.156,                      0,                      0,                      0,                      0,                      0,                 177.22,                      0,              0.0010496,              0.0010496,              0.0010496
                     50,                0.82053,                0.60617,                 1.1215,                      0,                      0,                      0,                      0,                      0,                 174.18,                      0,              0.0010298,              0.0010298,              0.0010298
                     51,                0.81516,                0.61671,                 1.1545,                      0,                      0,                      0,                      0,                      0,                  186.1,                      0,                0.00101,                0.00101,                0.00101
                     52,                0.84825,                0.63576,                 1.1791,                      0,                      0,                      0,                      0,                      0,                 204.45,                      0,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.7773,                  0.583,                   1.15,                      0,                      0,                      0,                      0,                      0,                 220.65,                      0,              0.0009704,              0.0009704,              0.0009704
                     54,                  0.769,                 0.5896,                 1.0979,                      0,                      0,                      0,                      0,                      0,                  242.8,                      0,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76847,                0.55447,                 1.0841,                      0,                      0,                      0,                      0,                      0,                 236.27,                      0,              0.0009308,              0.0009308,              0.0009308
                     56,                0.81953,                0.66406,                 1.1667,                      0,                      0,                      0,                      0,                      0,                 205.48,                      0,               0.000911,               0.000911,               0.000911
                     57,                0.79399,                 0.5892,                 1.1525,                      0,                      0,                      0,                      0,                      0,                  192.1,                      0,              0.0008912,              0.0008912,              0.0008912
                     58,                0.81016,                0.58916,                 1.1528,                      0,                      0,                      0,                      0,                      0,                 184.91,                      0,              0.0008714,              0.0008714,              0.0008714
                     59,                0.75613,                0.59333,                 1.1045,                      0,                      0,                      0,                      0,                      0,                 188.24,                      0,              0.0008516,              0.0008516,              0.0008516
                     60,                0.79237,                0.59367,                 1.1557,                      0,                      0,                      0,                      0,                      0,                 212.93,                      0,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70701,                0.50202,                 1.0689,                      0,                      0,                      0,                      0,                      0,                 234.59,                      0,               0.000812,               0.000812,               0.000812
                     62,                 0.7178,                 0.5107,                 1.0859,                      0,                      0,                      0,                      0,                      0,                 283.73,                      0,              0.0007922,              0.0007922,              0.0007922
                     63,                0.72671,                0.52957,                 1.0988,                      0,                      0,                      0,                      0,                      0,                  300.1,                      0,              0.0007724,              0.0007724,              0.0007724
                     64,                0.68888,                0.51288,                 1.0757,                      0,                      0,                      0,                      0,                      0,                 314.78,                      0,              0.0007526,              0.0007526,              0.0007526
                     65,                0.71759,                0.49281,                 1.0317,                      0,                      0,                      0,                      0,                      0,                 312.99,                      0,              0.0007328,              0.0007328,              0.0007328
                     66,                0.76218,                0.52685,                 1.0825,                      0,                      0,                      0,                      0,                      0,                 298.86,                      0,               0.000713,               0.000713,               0.000713
                     67,                0.70572,                0.53447,                 1.0956,                      0,                      0,                      0,                      0,                      0,                 281.91,                      0,              0.0006932,              0.0006932,              0.0006932
                     68,                0.73539,                  0.521,                 1.0946,                      0,                      0,                      0,                      0,                      0,                 252.65,                      0,              0.0006734,              0.0006734,              0.0006734
                     69,                0.76742,                 0.5278,                 1.1048,                      0,                      0,                      0,                      0,                      0,                 247.24,                      0,              0.0006536,              0.0006536,              0.0006536
                     70,                0.68227,                0.48825,                 1.0652,                      0,                      0,                      0,                      0,                      0,                 246.74,                      0,              0.0006338,              0.0006338,              0.0006338
                     71,                0.69952,                0.49139,                 1.0815,                      0,                      0,                      0,                      0,                      0,                 252.27,                      0,               0.000614,               0.000614,               0.000614
                     72,                0.69353,                0.49065,                 1.0657,                      0,                      0,                      0,                      0,                      0,                 265.31,                      0,              0.0005942,              0.0005942,              0.0005942
                     73,                0.67483,                0.47296,                 1.0443,                      0,                      0,                      0,                      0,                      0,                 271.95,                      0,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69442,                0.48393,                 1.0848,                      0,                      0,                      0,                      0,                      0,                 280.06,                      0,              0.0005546,              0.0005546,              0.0005546
                     75,                0.66997,                0.47966,                 1.0675,                      0,                      0,                      0,                      0,                      0,                 279.06,                      0,              0.0005348,              0.0005348,              0.0005348
                     76,                0.65025,                0.46022,                 1.0292,                      0,                      0,                      0,                      0,                      0,                 273.59,                      0,               0.000515,               0.000515,               0.000515
